BUYER_STATE,BUYER_COUNTY,YEAR,TOTAL_MME
CO,CLEAR CREEK,2018,2545037.0549959997
CO,CLEAR CREEK,2019,2784282.639441
CO,CONEJOS,2006,4329035.163835
CO,CONEJOS,2007,4437132.676445
CO,CONEJOS,2008,4342092.416787
CO,CONEJOS,2009,3842732.176711
CO,CONEJOS,2010,4094207.34878
CO,CONEJOS,2011,5220989.966322
CO,CONEJOS,2012,6879275.50052
CO,CONEJOS,2013,6895071.9102445
CO,CONEJOS,2014,4883314.173913
CO,CONEJOS,2015,3511025.86159
CO,CONEJOS,2016,3450200.000357
CO,CONEJOS,2017,2925685.92612
CO,CONEJOS,2018,2163649.6614249996
CO,CONEJOS,2019,2304985.3928
CO,COSTILLA,2011,186.724
CO,COSTILLA,2018,438.0
CO,COSTILLA,2019,250.0
CO,CROWLEY,2006,4204892.554098
CO,CROWLEY,2007,4582015.718002
CO,CROWLEY,2008,4367432.7104899995
CO,CROWLEY,2009,4362235.2964135
CO,CROWLEY,2010,5312021.8893145
CO,CROWLEY,2011,5181208.060896
CO,CROWLEY,2012,5342648.310192
CO,CROWLEY,2013,4749007.6821305
CO,CROWLEY,2014,5024861.987657
CO,CROWLEY,2015,4270350.299890999
CO,CROWLEY,2016,3741979.180889999
CO,CROWLEY,2017,3643402.8886199994
CO,CROWLEY,2018,2829284.6607609997
CO,CROWLEY,2019,2239313.110403
CO,CUSTER,2006,8137.5
CO,CUSTER,2007,6033.52
CO,CUSTER,2008,4372.981033999999
CO,CUSTER,2009,5103.781034
CO,CUSTER,2010,4945.161035
CO,CUSTER,2011,5812.905199000001
CO,CUSTER,2012,7671.973332
CO,CUSTER,2013,10452.956425
CO,CUSTER,2014,4017.9
CO,CUSTER,2015,90.0
CO,CUSTER,2017,900.0
CO,CUSTER,2018,2700.0
CO,CUSTER,2019,3365.94
CO,DELTA,2006,24897597.473265
CO,DELTA,2007,30020166.238482498
CO,DELTA,2008,34844957.3919406
CO,DELTA,2009,30801450.2555655
CO,DELTA,2010,26971222.274308
CO,DELTA,2011,28002179.246788494
CO,DELTA,2012,31280894.9754185
CO,DELTA,2013,26128275.419055
CO,DELTA,2014,25647487.850237
CO,DELTA,2015,23440275.052769
CO,DELTA,2016,20043750.029347997
CO,DELTA,2017,16097448.125784997
CO,DELTA,2018,13200128.110172998
CO,DELTA,2019,12224793.588035995
CO,DOLORES,2006,60019.829744999995
CO,DOLORES,2007,66783.08474
CO,DOLORES,2008,74159.882635
CO,DOLORES,2009,77520.015
CO,DOLORES,2010,94700.555172
CO,DOLORES,2011,69011.937068
CO,DOLORES,2012,49945.5
CO,DOLORES,2013,38782.25
CO,DOLORES,2014,25288.59
CO,DOLORES,2015,334.3539
CO,DOLORES,2017,75.2
CO,DOLORES,2019,188.0
