Buyer State,Buyer County,Year,Total_MME
GA,FAYETTE,2015,107014.43455147899
GA,FLOYD,2006,114212.44958609225
GA,FLOYD,2007,127143.1716122252
GA,FLOYD,2008,139515.35806854424
GA,FLOYD,2010,333504.8941994945
GA,FLOYD,2011,184957.647399952
GA,FLOYD,2012,180832.6206136402
GA,FLOYD,2013,163840.179099694
GA,FLOYD,2015,175961.5749922855
GA,FORSYTH,2007,68999.6019597535
GA,FORSYTH,2008,81509.86510408056
GA,FORSYTH,2009,103327.41030309725
GA,FORSYTH,2010,229713.211021737
GA,FORSYTH,2011,131372.01427911498
GA,FORSYTH,2012,149732.118958507
GA,FORSYTH,2013,1609541.3987033607
GA,FORSYTH,2014,120904155.92057374
GA,FORSYTH,2015,22175425.033966046
GA,FULTON,2006,14268880.355334185
GA,FULTON,2007,6928550.5382237155
GA,FULTON,2008,159663185.05648527
GA,FULTON,2009,9588126.839240048
GA,FULTON,2010,50756471.85486498
GA,FULTON,2011,19450777.38013237
GA,FULTON,2012,21414578.035251867
GA,FULTON,2013,16433963.738614423
GA,FULTON,2014,91453750.02965194
GA,FULTON,2015,43360136.451090306
GA,GLYNN,2006,65081.77477803125
GA,GLYNN,2007,76109.19804446495
GA,GLYNN,2008,82244.71056910085
GA,GLYNN,2009,100339.72780984825
GA,GLYNN,2012,116830.74535443
GA,GLYNN,2013,109860.184847857
GA,GORDON,2009,37215.3587915345
GA,GORDON,2011,44144.8713609745
GA,GWINNETT,2006,28977063.000678513
GA,GWINNETT,2007,23402193.5830685
GA,GWINNETT,2008,43375064.10160021
GA,GWINNETT,2009,37904794.95974487
GA,GWINNETT,2010,197391000.99669397
GA,GWINNETT,2011,54758549.42995504
GA,GWINNETT,2012,58080449.701500356
GA,GWINNETT,2013,202487167.92808047
GA,GWINNETT,2014,153091810.4513488
GA,GWINNETT,2015,52647773.53697446
GA,HALL,2006,3853053.92432142
GA,HALL,2007,3960990.627084404
GA,HALL,2008,2817036.548236808
GA,HALL,2009,197694901064.75598
GA,HALL,2010,115843485165.22232
GA,HALL,2011,117879564392.94463
GA,HALL,2012,62338493464.26879
GA,HALL,2013,900247.3907369014
GA,HALL,2014,1140533.8688123636
GA,HALL,2015,1803269.2459010251
GA,HARALSON,2007,63877.96457371425
GA,HARALSON,2009,64546.961281284246
GA,HARALSON,2010,135534.9734143415
GA,HENRY,2006,2213699.937988065
GA,HENRY,2007,2833760.650664443
GA,HENRY,2008,2669146.356639038
GA,HENRY,2009,5998651.096728569
GA,HENRY,2010,7105154.028663479
GA,HENRY,2011,970435.190124852
GA,HENRY,2012,172911.98915903026
GA,HENRY,2013,175513.4746577965
GA,HENRY,2014,173383.84187533348
GA,HENRY,2015,168746.197190486
GA,JACKSON,2009,125248.57255034675
GA,JACKSON,2011,162404.34541587048
GA,JACKSON,2012,173880.8770513435
GA,JACKSON,2013,188216.3142625075
GA,JACKSON,2015,193469.071254917
GA,MADISON,2014,36556.864145994
GA,MURRAY,2008,26641.8894019535
GA,MURRAY,2010,54173.852208229
GA,MURRAY,2011,30931.268503816
GA,MURRAY,2012,31326.6322568845
GA,MURRAY,2013,30975.169160473
GA,MURRAY,2014,32554.0863240605
GA,MUSCOGEE,2008,163503.9383221127
GA,MUSCOGEE,2009,176261.451098401
GA,MUSCOGEE,2010,400936.3405256915
GA,MUSCOGEE,2011,233243.432674471
GA,MUSCOGEE,2012,253809.10798319374
GA,MUSCOGEE,2013,237925.72222389
GA,MUSCOGEE,2014,209123.9647764175
GA,MUSCOGEE,2015,216064.60006234268
GA,NEWTON,2007,46996.45848285175
GA,NEWTON,2009,56925.3048788645
GA,NEWTON,2011,63836.15135565975
GA,NEWTON,2013,61249.807468177
GA,NEWTON,2015,61114.837931992995
GA,PAULDING,2006,57608.40315020925
GA,PAULDING,2007,65122.50153857875
GA,PAULDING,2008,67226.9110283436
GA,PAULDING,2009,73750.271679623
GA,PAULDING,2010,168299.420102691
GA,PAULDING,2011,90562.30637822249
GA,PAULDING,2012,92461.56973751624
GA,PAULDING,2013,94065.267259259
GA,PAULDING,2014,94397.4854322105
GA,PAULDING,2015,98916.672575306
GA,POLK,2010,97347.004381757
GA,RICHMOND,2006,202463.1891743512
GA,RICHMOND,2007,212544.03806536045
GA,RICHMOND,2008,221600.44793471566
GA,RICHMOND,2009,233590.83327771883
GA,RICHMOND,2010,489216.0293174265
GA,RICHMOND,2011,276183.2108539445
GA,RICHMOND,2012,289105.87970392976
GA,RICHMOND,2013,288567.481888427
GA,RICHMOND,2014,276816.9219495825
GA,RICHMOND,2015,276160.487359045
GA,ROCKDALE,2006,570947.8004759924
GA,ROCKDALE,2007,520123.9518609517
GA,ROCKDALE,2012,188249.620723037
GA,ROCKDALE,2013,162420.83568583225
GA,ROCKDALE,2014,191537.3170312385
GA,ROCKDALE,2015,137954.352593129
GA,SPALDING,2012,105224.0176826085
GA,SPALDING,2015,132223.5764351665
GA,TROUP,2011,45804.639635159
GA,TROUP,2014,45594.2653162275
GA,TROUP,2015,54205.142317346
GA,WALKER,2007,191548.361604649
GA,WALKER,2009,186124.774981756
GA,WALKER,2011,181852.7136359805
GA,WALKER,2012,186310.068226393
GA,WALKER,2014,167730.9971995635
GA,WALTON,2012,104991.8549086545
GA,WALTON,2013,102713.7662188425
GA,WALTON,2014,96132.5909510185
GA,WALTON,2015,96883.444890343
GA,WARE,2009,75493.21304319275
GA,WARE,2014,88607.48087609801
GA,WHITFIELD,2006,50133.0740117177
GA,WHITFIELD,2008,78734.82512298005
GA,WHITFIELD,2009,82718.44379510201
GA,WHITFIELD,2010,173307.9728755895
GA,WHITFIELD,2011,104150.1793481795
GA,WHITFIELD,2012,92067.9241116575
GA,WHITFIELD,2013,84033.358213346
GA,WHITFIELD,2014,85854.567240221
GA,WHITFIELD,2015,91507.233623033
ID,ADA,2006,261420.26901021774
ID,ADA,2007,299231.1778709631
ID,ADA,2008,683843.3111560344
ID,ADA,2009,380631.1854828519
ID,ADA,2010,889738.6433488361
ID,ADA,2011,490302.319663483
ID,ADA,2012,542918.8067701985
ID,ADA,2013,549380.310807165
ID,ADA,2014,568006.7037424245
ID,ADA,2015,568804.3835244621
ID,BANNOCK,2009,65496.39963949651
ID,BANNOCK,2010,146657.88798159547
ID,BANNOCK,2011,84625.15214808099
ID,BANNOCK,2012,95750.03312296301
ID,BANNOCK,2013,91426.129201186
ID,BANNOCK,2014,180612.710398956
ID,BONNEVILLE,2008,80892.7682961755
ID,BONNEVILLE,2009,85325.91951917825
ID,BONNEVILLE,2010,178699.019941571
ID,BONNEVILLE,2011,102176.10918253701
ID,BONNEVILLE,2012,115158.15347349801
ID,BONNEVILLE,2013,104548.9000777525
ID,BONNEVILLE,2014,103579.445417134
ID,BONNEVILLE,2015,103018.16902722599
ID,CANYON,2010,205197.359218622
ID,CANYON,2011,122288.540546489
ID,CANYON,2013,145382.351272861
ID,CANYON,2014,152196.0648618995
ID,KOOTENAI,2006,102732.3726020543
ID,KOOTENAI,2008,112505.2421012886
ID,KOOTENAI,2009,120306.8548237865
ID,KOOTENAI,2012,156674.242689109
ID,KOOTENAI,2014,180765.235611654
ID,KOOTENAI,2015,202966.19786723447
ID,TWIN FALLS,2015,104154.5968401575
MT,CASCADE,2008,90998.0416365135
MT,CASCADE,2013,104338.9210254325
MT,FLATHEAD,2007,150366.3346403415
MT,FLATHEAD,2008,163045.005164634
MT,FLATHEAD,2012,130247.64901136099
MT,FLATHEAD,2013,122144.342681868
MT,FLATHEAD,2014,119761.6170885955
MT,FLATHEAD,2015,117162.7304149835
MT,GALLATIN,2009,40609.5539810145
MT,LEWIS AND CLARK,2014,115436.98966360599
MT,MISSOULA,2008,97803.8932115003
MT,MISSOULA,2009,106431.6259649415
MT,MISSOULA,2010,241644.56311791
MT,MISSOULA,2012,146304.068852618
MT,MISSOULA,2013,131301.575122638
MT,MISSOULA,2015,113172.727397289
MT,SILVER BOW,2009,42081.8614736315
MT,YELLOWSTONE,2006,130931.56529020634
MT,YELLOWSTONE,2007,141458.65593352148
MT,YELLOWSTONE,2010,336842.91408243997
MT,YELLOWSTONE,2011,181585.6559359905
MT,YELLOWSTONE,2012,193320.4042612445
MT,YELLOWSTONE,2013,195158.266176638
MT,YELLOWSTONE,2014,204787.7254581105
